Tabelle: 61111-0002
Verbraucherpreisindex: Deutschland, Monate;;;;
Verbraucherpreisindex für Deutschland;;;;;;;
Deutschland;;;;;;;
;;Verbraucherpreisindex;Verbraucherpreisindex;Veränderung zum Vorjahresmonat;Veränderung zum Vorjahresmonat;Veränderung zum Vormonat;Veränderung zum Vormonat
;;2020=100;2020=100;in (%);in (%);in (%);in (%)
2025;Januar;120,3;e;2,3;e;-0,2;e
2025;Februar;120,8;e;2,3;e;0,4;e
2025;März;121,2;e;2,2;e;0,3;e
2025;April;121,7;e;2,1;e;0,4;e
2025;Mai;121,8;e;2,1;e;0,1;e
2025;Juni;121,8;e;2,0;e;-;
2025;Juli;122,2;e;2,0;e;0,3;e
2025;August;122,3;e;2,2;e;0,1;e
2025;September;122,6;e;2,4;e;0,2;e
2025;Oktober;123,0;e;2,3;e;0,3;e
2025;November;122,7;e;2,3;e;-0,2;e
2025;Dezember;122,7;e;1,8;e;-;
2026;Januar;122,8;e;2,1;e;0,1;e
2026;Februar;123,1;e;1,9;e;0,2;e
2026;März;124,5;e;2,7;e;1,1;e
2026;April;125,2;e;2,9;e;0,6;e
2026;Mai;...;;...;;...;
2026;Juni;...;;...;;...;
2026;Juli;...;;...;;...;
2026;August;...;;...;;...;
2026;September;...;;...;;...;
2026;Oktober;...;;...;;...;
2026;November;...;;...;;...;
2026;Dezember;...;;...;;...;
__________
"Dezember 2024: 
Aufgrund des Umstiegs auf den Erhebungskatalog 2025 mit
erheblichen klassifikationsbedingten Strukturveränderungen
sind die Werte für Dezember 2024 vor allem im Hinblick auf
den Vormonatsvergleich teilweise in der Qualität
beeinflusst."
© Statistisches Bundesamt (Destatis), 2026
Stand: 31.05.2026 / 23:45:11
