Bez,StatBezName,Pers_ insges,HW,NW,M,W,LD,VH,VW,GS,RK,EV,0-2,3-5,6-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90um,Deutsch,Ausl
10,Markt                         ,2834,2793,41,1618,1216,2161,468,74,131,799,323,31,29,25,37,17,70,630,679,372,177,114,95,85,87,95,78,64,45,44,40,20,1849,985
13,Theater                       ,3259,3230,29,1910,1349,2480,564,72,143,809,336,47,26,32,38,23,115,784,686,380,230,129,102,87,107,123,101,69,71,57,41,11,1977,1282
14,Lindenplatz                   ,4235,4205,30,2343,1892,3236,644,173,182,1230,508,40,44,52,61,36,114,905,968,489,243,162,112,126,158,146,119,112,92,83,109,64,2856,1379
15,St. Jakob                     ,6590,6513,77,3690,2900,5088,1080,133,289,1945,846,103,73,88,87,66,181,1426,1561,868,396,265,212,195,242,252,191,143,105,61,52,23,4964,1626
16,Westpark                      ,8583,8490,93,4707,3876,5895,2033,272,383,2475,1037,152,125,182,223,124,293,1438,1631,1005,547,393,341,314,379,349,342,222,156,147,145,75,6202,2381
17,Hanbruch                      ,3627,3590,37,1812,1815,1635,1486,222,284,1260,430,84,90,150,178,122,90,226,245,251,200,216,208,228,267,274,236,209,139,99,84,31,2993,634
18,Hörn                          ,5608,5547,61,2879,2729,3153,1900,304,251,1824,750,122,140,171,186,139,157,854,658,421,343,289,221,188,314,315,244,209,189,179,192,77,4419,1189
21,Ponttor                       ,13834,13653,181,8289,5545,10861,2290,240,443,3186,1490,198,162,197,199,114,557,3709,3141,1559,776,526,404,335,424,382,316,262,258,139,125,51,8450,5384
22,Hansemannplatz                ,5563,5510,53,3264,2299,3957,1156,183,267,1420,560,81,63,86,128,66,157,1022,1159,618,365,247,219,186,235,221,213,161,122,97,89,28,3534,2029
23,Soers                         ,2993,2970,23,1492,1501,1425,1239,157,172,1054,359,65,85,131,175,90,67,181,223,214,182,202,176,160,192,197,149,141,131,110,92,30,2593,400
24,Jülicher Str.                 ,7925,7858,67,4564,3361,5431,1745,270,479,1687,735,170,146,195,289,166,229,1169,1378,884,560,444,339,364,393,327,252,182,164,117,114,43,4715,3210
25,Kalkofen                      ,3235,3226,9,1674,1561,1851,1002,151,231,740,222,100,93,166,171,119,105,283,261,246,245,231,197,199,199,159,136,98,97,58,49,23,2008,1227
31,Kaiserplatz                   ,8705,8630,75,4986,3719,6322,1693,212,478,2041,900,154,101,115,147,88,257,1621,1806,1210,663,387,328,268,332,320,267,209,170,115,102,45,5561,3144
32,Adalbertsteinweg              ,10068,10008,60,5829,4239,6985,2059,336,688,2360,954,175,195,257,294,161,268,1490,1794,1092,740,575,499,424,496,450,361,255,223,131,130,58,6244,3824
33,Panneschopp                   ,8676,8638,38,4974,3702,5455,2239,365,617,1572,534,208,233,308,371,225,237,1058,1097,804,584,536,503,457,472,441,378,256,204,167,94,43,4200,4476
34,Rothe Erde                    ,2616,2610,6,1409,1207,1398,842,140,236,730,161,71,77,108,105,62,49,193,194,224,180,168,186,149,184,192,141,96,87,62,60,28,1521,1095
35,Trierer Str.                  ,8402,8351,51,4326,4076,4441,2796,442,723,2316,736,206,250,327,399,226,164,601,773,675,619,541,478,519,494,529,467,398,302,185,155,94,5597,2805
