zipcode,under_20_years,20_to_64_years,65_years_older
52062,2779.0,23153.0,2700.0
52064,2740.0,20669.0,3025.0
52066,3707.0,17631.0,4404.0
52068,2054.0,7622.0,1616.0
52070,4493.0,21437.0,3854.0
52072,3383.0,10930.0,5173.0
52074,5114.0,18921.0,6696.0
52076,2901.0,8289.0,4314.0
52078,7877.0,22963.0,8975.0
52080,6449.0,20442.0,8454.0
52134,9052.0,28519.0,11095.0
52146,7228.0,22736.0,8901.0
52152,2964.0,9126.0,3510.0
52156,2213.0,6815.0,2622.0
52159,1643.0,5060.0,1947.0
52222,3685.0,11057.0,4158.0
52223,3685.0,11057.0,4158.0
52224,3685.0,11057.0,4158.0
52249,10930.0,32959.0,12451.0
52351,18763.0,54611.0,19977.0
52379,2759.0,8278.0,3113.0
52382,2788.0,8366.0,3146.0
52428,6298.0,19724.0,7128.0
52477,9730.0,28602.0,10561.0
52499,5476.0,16099.0,5945.0
52531,4904.0,14713.0,5533.0
