zipcode,stores,competitors,osm_total,competitor_share
52062,4,20,24,0.83
52064,4,6,10,0.6
52066,4,12,16,0.75
52068,1,7,8,0.88
52070,2,10,12,0.83
52072,2,4,6,0.67
52074,3,1,4,0.25
52076,1,6,7,0.86
52078,3,8,11,0.73
52080,2,9,11,0.82
52134,3,10,13,0.77
52146,5,8,13,0.62
52152,1,5,6,0.83
52156,2,7,9,0.78
52159,1,4,5,0.8
52222,3,2,5,0.4
52223,1,5,6,0.83
52224,1,3,4,0.75
52249,4,5,9,0.56
52351,1,4,5,0.8
52379,1,6,7,0.86
52382,1,3,4,0.75
52428,3,10,13,0.77
52477,4,8,12,0.67
52499,2,4,6,0.67
52531,2,6,8,0.75
