zipcode,german_citizens,non_german_citizens
52062,17837.0,10795.0
52064,18924.0,7510.0
52066,20733.0,5009.0
52068,5721.0,5571.0
52070,19094.0,10690.0
52072,16775.0,2711.0
52074,23602.0,7129.0
52076,14084.0,1420.0
52078,31286.0,8529.0
52080,29450.0,5895.0
52134,42476.0,6190.0
52146,33890.0,4975.0
52152,14664.0,936.0
52156,10951.0,699.0
52159,8131.0,519.0
52222,16537.0,2363.0
52223,16537.0,2363.0
52224,16537.0,2363.0
52249,48002.0,8338.0
52351,77201.0,16150.0
52379,12947.0,1203.0
52382,13084.0,1216.0
52428,28642.0,4508.0
52477,40240.0,8653.0
52499,23997.0,3523.0
52531,21403.0,3747.0
