zipcode,single,married,divorced_widowed
52062,21824.0,5015.0,598.0
52064,19299.0,5120.0,778.0
52066,15328.0,7771.0,997.0
52068,6853.0,3081.0,505.0
52070,19649.0,7201.0,1097.0
52072,8322.0,8437.0,1276.0
52074,16502.0,10751.0,1616.0
52076,5934.0,7206.0,1141.0
52078,17865.0,16365.0,2367.0
52080,15482.0,14879.0,2273.0
52134,19320.0,21948.0,7398.0
52146,15429.0,17528.0,5908.0
52152,6193.0,7145.0,2262.0
52156,4625.0,5336.0,1689.0
52159,3434.0,3962.0,1254.0
52222,7654.0,8354.0,2892.0
52223,7654.0,8354.0,2892.0
52224,7654.0,8354.0,2892.0
52249,22818.0,24958.0,8564.0
52351,38180.0,41075.0,14096.0
52379,5688.0,6268.0,2194.0
52382,5749.0,6335.0,2216.0
52428,13525.0,14520.0,5105.0
52477,19802.0,21659.0,7432.0
52499,11145.0,12191.0,4184.0
52531,10186.0,11141.0,3823.0
