zipcode,unemployed,subject_to_social_security_svb
52062,1350.0,12540.0
52064,1240.0,11580.0
52066,1210.0,11280.0
52068,530.0,4950.0
52070,1400.0,13040.0
52072,920.0,8540.0
52074,1450.0,13460.0
52076,730.0,6790.0
52078,1870.0,17440.0
52080,1660.0,15480.0
52134,1890.0,15340.0
52146,1510.0,12240.0
52152,600.0,4910.0
52156,450.0,3670.0
52159,330.0,2720.0
52222,780.0,5930.0
52223,780.0,5930.0
52224,780.0,5930.0
52249,2420.0,17680.0
52351,4110.0,29310.0
52379,610.0,4440.0
52382,620.0,4490.0
52428,1430.0,10410.0
52477,2010.0,14280.0
52499,1130.0,8090.0
52531,1030.0,7390.0
