,matchID,matchDateTime,timeZoneID,leagueId,leagueName,leagueSeason,leagueShortcut,matchDateTimeUTC,lastUpdateDateTime,matchIsFinished,matchResults,goals,location,numberOfViewers,group.groupName,group.groupOrderID,group.groupID,team1.teamId,team1.teamName,team1.shortName,team1.teamIconUrl,team1.teamGroupName,team2.teamId,team2.teamName,team2.shortName,team2.teamIconUrl,team2.teamGroupName,location.locationID,location.locationCity,location.locationStadium
14,78269,2025-08-09T14:00:00,W. Europe Standard Time,4857,3. Liga 2025/2026,2025,bl3,2025-08-09T12:00:00Z,2025-08-10T15:13:35.52,True,"[{'resultID': 118370, 'resultName': 'Halbzeit', 'pointsTeam1': 1, 'pointsTeam2': 2, 'resultOrderID': 1, 'resultTypeID': 1, 'resultDescription': 'Ergebnis nach Ende der ersten Halbzeit'}, {'resultID': 118371, 'resultName': 'Endergebnis', 'pointsTeam1': 2, 'pointsTeam2': 4, 'resultOrderID': 2, 'resultTypeID': 2, 'resultDescription': 'Ergebnis nach Ende der offiziellen Spielzeit'}]","[{'goalID': 130299, 'scoreTeam1': 0, 'scoreTeam2': 1, 'matchMinute': 5, 'goalGetterID': 23558, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 130301, 'scoreTeam1': 0, 'scoreTeam2': 2, 'matchMinute': 13, 'goalGetterID': 23559, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 130309, 'scoreTeam1': 1, 'scoreTeam2': 2, 'matchMinute': 43, 'goalGetterID': 23560, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 130315, 'scoreTeam1': 1, 'scoreTeam2': 3, 'matchMinute': 56, 'goalGetterID': 23561, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 130317, 'scoreTeam1': 2, 'scoreTeam2': 3, 'matchMinute': 63, 'goalGetterID': 23562, 'goalGetterName': '', 'isPenalty': True, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 130320, 'scoreTeam1': 2, 'scoreTeam2': 4, 'matchMinute': 90, 'goalGetterID': 23563, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}]",,,2. Spieltag,2,48789,23,Alemannia Aachen,Aachen,https://upload.wikimedia.org/wikipedia/commons/9/94/Alemannia_Aachen_2010.svg,,2396,TSG 1899 Hoffenheim II,TSG 1899 Hoffenheim II,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/960px-Logo_TSG_Hoffenheim.svg.png,,,,
24,78281,2025-08-23T14:00:00,W. Europe Standard Time,4857,3. Liga 2025/2026,2025,bl3,2025-08-23T12:00:00Z,2025-08-23T17:19:52.08,True,"[{'resultID': 118522, 'resultName': 'Halbzeit', 'pointsTeam1': 0, 'pointsTeam2': 0, 'resultOrderID': 1, 'resultTypeID': 1, 'resultDescription': 'Ergebnis nach Ende der ersten Halbzeit'}, {'resultID': 118523, 'resultName': 'Endergebnis', 'pointsTeam1': 0, 'pointsTeam2': 2, 'resultOrderID': 2, 'resultTypeID': 2, 'resultDescription': 'Ergebnis nach Ende der offiziellen Spielzeit'}]","[{'goalID': 130602, 'scoreTeam1': 0, 'scoreTeam2': 1, 'matchMinute': None, 'goalGetterID': 0, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 130603, 'scoreTeam1': 0, 'scoreTeam2': 2, 'matchMinute': None, 'goalGetterID': 0, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}]",,,3. Spieltag,3,48790,23,Alemannia Aachen,Aachen,https://upload.wikimedia.org/wikipedia/commons/9/94/Alemannia_Aachen_2010.svg,,125,TSV 1860 München,1860 München,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/TSV_1860_M%C3%BCnchen.svg/960px-TSV_1860_M%C3%BCnchen.svg.png,,,,
46,78300,2025-09-13T16:30:00,W. Europe Standard Time,4857,3. Liga 2025/2026,2025,bl3,2025-09-13T14:30:00Z,2025-09-13T18:29:54.493,True,"[{'resultID': 118836, 'resultName': 'Halbzeit', 'pointsTeam1': 0, 'pointsTeam2': 2, 'resultOrderID': 1, 'resultTypeID': 1, 'resultDescription': 'Ergebnis nach Ende der ersten Halbzeit'}, {'resultID': 118837, 'resultName': 'Endergebnis', 'pointsTeam1': 1, 'pointsTeam2': 3, 'resultOrderID': 2, 'resultTypeID': 2, 'resultDescription': 'Ergebnis nach Ende der offiziellen Spielzeit'}]","[{'goalID': 131390, 'scoreTeam1': 0, 'scoreTeam2': 1, 'matchMinute': 42, 'goalGetterID': 18719, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 131391, 'scoreTeam1': 0, 'scoreTeam2': 2, 'matchMinute': 45, 'goalGetterID': 21399, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': True, 'comment': None}, {'goalID': 131392, 'scoreTeam1': 0, 'scoreTeam2': 3, 'matchMinute': 49, 'goalGetterID': 17740, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 131393, 'scoreTeam1': 1, 'scoreTeam2': 3, 'matchMinute': 72, 'goalGetterID': 23562, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}]",,,5. Spieltag,5,48792,23,Alemannia Aachen,Aachen,https://upload.wikimedia.org/wikipedia/commons/9/94/Alemannia_Aachen_2010.svg,,564,SSV Ulm 1846,SSV Ulm 1846,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/SSV_Ulm_1846_Fussball.svg/960px-SSV_Ulm_1846_Fussball.svg.png,,,,
64,78319,2025-09-20T14:00:00,W. Europe Standard Time,4857,3. Liga 2025/2026,2025,bl3,2025-09-20T12:00:00Z,2025-09-20T17:06:47.987,True,"[{'resultID': 118997, 'resultName': 'Halbzeit', 'pointsTeam1': 1, 'pointsTeam2': 0, 'resultOrderID': 1, 'resultTypeID': 1, 'resultDescription': 'Ergebnis nach Ende der ersten Halbzeit'}, {'resultID': 119001, 'resultName': 'Endergebnis', 'pointsTeam1': 3, 'pointsTeam2': 2, 'resultOrderID': 2, 'resultTypeID': 2, 'resultDescription': 'Ergebnis nach Ende der offiziellen Spielzeit'}]","[{'goalID': 131683, 'scoreTeam1': 1, 'scoreTeam2': 0, 'matchMinute': 39, 'goalGetterID': 23841, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 131684, 'scoreTeam1': 1, 'scoreTeam2': 1, 'matchMinute': 52, 'goalGetterID': 23677, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 131685, 'scoreTeam1': 1, 'scoreTeam2': 2, 'matchMinute': 56, 'goalGetterID': 23847, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 131686, 'scoreTeam1': 2, 'scoreTeam2': 2, 'matchMinute': 83, 'goalGetterID': 23849, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 131687, 'scoreTeam1': 3, 'scoreTeam2': 2, 'matchMinute': 90, 'goalGetterID': 22877, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': True, 'comment': None}]",,,7. Spieltag,7,48794,23,Alemannia Aachen,Aachen,https://upload.wikimedia.org/wikipedia/commons/9/94/Alemannia_Aachen_2010.svg,,553,SV Waldhof Mannheim,Mannheim,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Svwaldhof.svg/960px-Svwaldhof.svg.png,,,,
84,78339,2025-09-30T19:00:00,,4857,3. Liga 2025/2026,2025,bl3,2025-09-30T17:00:00Z,2025-09-30T20:59:57.277,True,"[{'resultID': 119253, 'resultName': 'Halbzeit', 'pointsTeam1': 0, 'pointsTeam2': 1, 'resultOrderID': 1, 'resultTypeID': 1, 'resultDescription': 'Ergebnis nach Ende der ersten Halbzeit'}, {'resultID': 119254, 'resultName': 'Endergebnis', 'pointsTeam1': 0, 'pointsTeam2': 1, 'resultOrderID': 2, 'resultTypeID': 2, 'resultDescription': 'Ergebnis nach Ende der offiziellen Spielzeit'}]","[{'goalID': 132223, 'scoreTeam1': 0, 'scoreTeam2': 1, 'matchMinute': 34, 'goalGetterID': 23954, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}]",,,9. Spieltag,9,48796,23,Alemannia Aachen,Aachen,https://upload.wikimedia.org/wikipedia/commons/9/94/Alemannia_Aachen_2010.svg,,66,Erzgebirge Aue,Aue,https://upload.wikimedia.org/wikipedia/de/thumb/1/13/Fc_erzgebirge_aue.svg/960px-Fc_erzgebirge_aue.svg.png,,,,
105,78360,2025-10-18T14:00:00,,4857,3. Liga 2025/2026,2025,bl3,2025-10-18T12:00:00Z,2025-10-18T16:53:02.577,True,"[{'resultID': 119622, 'resultName': 'Halbzeit', 'pointsTeam1': 0, 'pointsTeam2': 0, 'resultOrderID': 1, 'resultTypeID': 1, 'resultDescription': 'Ergebnis nach Ende der ersten Halbzeit'}, {'resultID': 119623, 'resultName': 'Endergebnis', 'pointsTeam1': 0, 'pointsTeam2': 1, 'resultOrderID': 2, 'resultTypeID': 2, 'resultDescription': 'Ergebnis nach Ende der offiziellen Spielzeit'}]","[{'goalID': 132998, 'scoreTeam1': 0, 'scoreTeam2': 1, 'matchMinute': 90, 'goalGetterID': 23661, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': True, 'comment': None}]",,,11. Spieltag,11,48798,23,Alemannia Aachen,Aachen,https://upload.wikimedia.org/wikipedia/commons/9/94/Alemannia_Aachen_2010.svg,,171,FC Ingolstadt 04,Ingolstadt,https://upload.wikimedia.org/wikipedia/de/thumb/5/55/FC-Ingolstadt_logo.svg/960px-FC-Ingolstadt_logo.svg.png,,,,
129,78379,2025-11-02T19:30:00,,4857,3. Liga 2025/2026,2025,bl3,2025-11-02T18:30:00Z,2025-11-02T21:29:38.17,True,"[{'resultID': 120086, 'resultName': 'Halbzeit', 'pointsTeam1': 2, 'pointsTeam2': 0, 'resultOrderID': 1, 'resultTypeID': 1, 'resultDescription': 'Ergebnis nach Ende der ersten Halbzeit'}, {'resultID': 120087, 'resultName': 'Endergebnis', 'pointsTeam1': 2, 'pointsTeam2': 0, 'resultOrderID': 2, 'resultTypeID': 2, 'resultDescription': 'Ergebnis nach Ende der offiziellen Spielzeit'}]","[{'goalID': 133942, 'scoreTeam1': 1, 'scoreTeam2': 0, 'matchMinute': 2, 'goalGetterID': 22877, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 133943, 'scoreTeam1': 2, 'scoreTeam2': 0, 'matchMinute': 39, 'goalGetterID': 22877, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}]",,,13. Spieltag,13,48800,23,Alemannia Aachen,Aachen,https://upload.wikimedia.org/wikipedia/commons/9/94/Alemannia_Aachen_2010.svg,,417,1. FC Saarbrücken,Saarbrücken,https://upload.wikimedia.org/wikipedia/de/thumb/f/ff/1._FC_Saarbr%C3%BCcken.svg/960px-1._FC_Saarbr%C3%BCcken.svg.png,,,,
145,78399,2025-11-22T14:00:00,,4857,3. Liga 2025/2026,2025,bl3,2025-11-22T13:00:00Z,2025-11-22T17:50:44.3,True,"[{'resultID': 120524, 'resultName': 'Halbzeit', 'pointsTeam1': 0, 'pointsTeam2': 1, 'resultOrderID': 1, 'resultTypeID': 1, 'resultDescription': 'Ergebnis nach Ende der ersten Halbzeit'}, {'resultID': 120525, 'resultName': 'Endergebnis', 'pointsTeam1': 0, 'pointsTeam2': 2, 'resultOrderID': 2, 'resultTypeID': 2, 'resultDescription': 'Ergebnis nach Ende der offiziellen Spielzeit'}]","[{'goalID': 134639, 'scoreTeam1': 0, 'scoreTeam2': 1, 'matchMinute': 22, 'goalGetterID': 23626, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 134640, 'scoreTeam1': 0, 'scoreTeam2': 2, 'matchMinute': 55, 'goalGetterID': 19858, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}]",,,15. Spieltag,15,48802,23,Alemannia Aachen,Aachen,https://upload.wikimedia.org/wikipedia/commons/9/94/Alemannia_Aachen_2010.svg,,181,Jahn Regensburg,Regensburg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Jahn_Regensburg_logo2014.svg/960px-Jahn_Regensburg_logo2014.svg.png,,,,
175,78430,2025-12-13T14:00:00,,4857,3. Liga 2025/2026,2025,bl3,2025-12-13T13:00:00Z,2025-12-13T17:21:39.443,True,"[{'resultID': 121061, 'resultName': 'Halbzeit', 'pointsTeam1': 0, 'pointsTeam2': 1, 'resultOrderID': 1, 'resultTypeID': 1, 'resultDescription': 'Ergebnis nach Ende der ersten Halbzeit'}, {'resultID': 121062, 'resultName': 'Endergebnis', 'pointsTeam1': 0, 'pointsTeam2': 3, 'resultOrderID': 2, 'resultTypeID': 2, 'resultDescription': 'Ergebnis nach Ende der offiziellen Spielzeit'}]","[{'goalID': 135689, 'scoreTeam1': 0, 'scoreTeam2': 1, 'matchMinute': 12, 'goalGetterID': 22475, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 135690, 'scoreTeam1': 0, 'scoreTeam2': 2, 'matchMinute': 60, 'goalGetterID': 21397, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 135691, 'scoreTeam1': 0, 'scoreTeam2': 3, 'matchMinute': 86, 'goalGetterID': 23755, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}]",,,18. Spieltag,18,48805,23,Alemannia Aachen,Aachen,https://upload.wikimedia.org/wikipedia/commons/9/94/Alemannia_Aachen_2010.svg,,2199,Viktoria Köln,Viktoria Köln,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/FC_Viktoria_K%C3%B6ln_1904_Logo.svg/960px-FC_Viktoria_K%C3%B6ln_1904_Logo.svg.png,,,,
196,78449,2026-01-17T16:30:00,,4857,3. Liga 2025/2026,2025,bl3,2026-01-17T15:30:00Z,2026-01-17T19:12:39.53,True,"[{'resultID': 122245, 'resultName': 'Halbzeit', 'pointsTeam1': 0, 'pointsTeam2': 2, 'resultOrderID': 1, 'resultTypeID': 1, 'resultDescription': 'Ergebnis nach Ende der ersten Halbzeit'}, {'resultID': 122246, 'resultName': 'Endergebnis', 'pointsTeam1': 0, 'pointsTeam2': 3, 'resultOrderID': 2, 'resultTypeID': 2, 'resultDescription': 'Ergebnis nach Ende der offiziellen Spielzeit'}]","[{'goalID': 137715, 'scoreTeam1': 0, 'scoreTeam2': 1, 'matchMinute': None, 'goalGetterID': 0, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 137716, 'scoreTeam1': 0, 'scoreTeam2': 2, 'matchMinute': None, 'goalGetterID': 0, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}, {'goalID': 137717, 'scoreTeam1': 0, 'scoreTeam2': 3, 'matchMinute': None, 'goalGetterID': 0, 'goalGetterName': '', 'isPenalty': False, 'isOwnGoal': False, 'isOvertime': False, 'comment': None}]",,,20. Spieltag,20,48807,23,Alemannia Aachen,Aachen,https://upload.wikimedia.org/wikipedia/commons/9/94/Alemannia_Aachen_2010.svg,,36,VfL Osnabrück,Osnabrück,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/VfL_Osnabrueck_Logo_2021%E2%80%93.svg/960px-VfL_Osnabrueck_Logo_2021%E2%80%93.svg.png,,,,
