zipcode,centroid_longitude,centroid_latitude,municipality_ags,municipality_ars,municipality_name,municipality_designation,municipality_display_name,district_ars,district_name,district_designation,district_display_name,federal_state_code,federal_state_name,assignment_method,distance_to_municipality_m
32049,8.7130931,52.13539549999999,05758012,057580012012,Herford,Stadt,"Herford, Stadt",000000005758,Herford,Kreis,"Herford, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32051,8.5897784,52.1017418,05758012,057580012012,Herford,Stadt,"Herford, Stadt",000000005758,Herford,Kreis,"Herford, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32052,8.6500658,52.0919704,05758012,057580012012,Herford,Stadt,"Herford, Stadt",000000005758,Herford,Kreis,"Herford, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32105,8.7464532,52.0848218,05766008,057660008008,Bad Salzuflen,Stadt,"Bad Salzuflen, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32107,8.693308799999999,52.0727509,05766008,057660008008,Bad Salzuflen,Stadt,"Bad Salzuflen, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32108,8.8101326,52.0853966,05766008,057660008008,Bad Salzuflen,Stadt,"Bad Salzuflen, Stadt",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32120,8.636922799999999,52.1624101,05758016,057580016016,Hiddenhausen,Gemeinde,"Hiddenhausen, Gemeinde",000000005758,Herford,Kreis,"Herford, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32130,8.54772,52.14755760000001,05758008,057580008008,Enger,Stadt,"Enger, Stadt",000000005758,Herford,Kreis,"Herford, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32139,8.458715399999999,52.1326307,05758032,057580032032,Spenge,Stadt,"Spenge, Stadt",000000005758,Herford,Kreis,"Herford, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32257,8.5777547,52.198835,05758004,057580004004,Bünde,Stadt,"Bünde, Stadt",000000005758,Herford,Kreis,"Herford, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32278,8.6566223,52.2251494,05758020,057580020020,Kirchlengern,Gemeinde,"Kirchlengern, Gemeinde",000000005758,Herford,Kreis,"Herford, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32289,8.490898,52.2372464,05758028,057580028028,Rödinghausen,Gemeinde,"Rödinghausen, Gemeinde",000000005758,Herford,Kreis,"Herford, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32312,8.627567299999999,52.3129662,05770020,057700020020,Lübbecke,Stadt,"Lübbecke, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32339,8.6301395,52.3663804,05770008,057700008008,Espelkamp,Stadt,"Espelkamp, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32351,8.4766636,52.4204498,05770044,057700044044,Stemwede,Gemeinde,"Stemwede, Gemeinde",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32361,8.5103036,52.3000863,05770036,057700036036,Preußisch Oldendorf,Stadt,"Preußisch Oldendorf, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32369,8.6008636,52.4543743,05770040,057700040040,Rahden,Stadt,"Rahden, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32423,8.9553818,52.2937952,05770024,057700024024,Minden,Stadt,"Minden, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32425,8.8907884,52.3362299,05770024,057700024024,Minden,Stadt,"Minden, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32427,8.887359199999999,52.29067930000001,05770024,057700024024,Minden,Stadt,"Minden, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32429,8.8427586,52.275536,05770024,057700024024,Minden,Stadt,"Minden, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32457,8.9402185,52.2253083,05770032,057700032032,Porta Westfalica,Stadt,"Porta Westfalica, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32469,8.9774411,52.3832895,05770028,057700028028,Petershagen,Stadt,"Petershagen, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32479,8.7834291,52.3121379,05770012,057700012012,Hille,Gemeinde,"Hille, Gemeinde",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32545,8.7926501,52.1971271,05770004,057700004004,Bad Oeynhausen,Stadt,"Bad Oeynhausen, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32547,8.822436999999999,52.2074157,05770004,057700004004,Bad Oeynhausen,Stadt,"Bad Oeynhausen, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
32549,8.8016185,52.2357817,05770004,057700004004,Bad Oeynhausen,Stadt,"Bad Oeynhausen, Stadt",000000005770,Minden-Lübbecke,Kreis,"Minden-Lübbecke, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
